epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1048,0.82577,0.75104,1.20386,0.83266,0.68556,0.79057,0.56056,1.09586,1.08893,1.40447,0.066822,6.64889e-05,6.64889e-05
2,141.171,0.7801,0.67893,1.18014,0.86269,0.76336,0.83597,0.61206,1.00567,0.91208,1.32049,0.0335521,0.00012986,0.00012986
3,206.777,0.77469,0.66336,1.17296,0.86511,0.80688,0.87116,0.65274,0.95658,0.77526,1.2838,0.00027882,0.000189931,0.000189931
4,270.915,0.7592,0.66438,1.17088,0.84567,0.80833,0.87261,0.65364,0.96121,0.80508,1.28478,0.00018515,0.00018515,0.00018515
5,333.888,0.75781,0.66421,1.17052,0.88088,0.79375,0.87219,0.65168,0.98955,0.79897,1.29436,0.0001802,0.0001802,0.0001802
6,393.984,0.77555,0.65444,1.18003,0.88627,0.79349,0.87205,0.6452,0.99436,0.763,1.3108,0.00017525,0.00017525,0.00017525
7,453.499,0.77452,0.65331,1.17337,0.8898,0.79805,0.8842,0.66231,0.95292,0.76735,1.26391,0.0001703,0.0001703,0.0001703
8,514.862,0.75538,0.63554,1.15903,0.87197,0.80054,0.87436,0.65553,0.94675,0.78758,1.26485,0.00016535,0.00016535,0.00016535
9,575.891,0.75193,0.63014,1.16379,0.87531,0.79228,0.86209,0.64675,0.95467,0.79397,1.29053,0.0001604,0.0001604,0.0001604
10,636.498,0.73208,0.61634,1.15154,0.8668,0.80642,0.87807,0.65154,0.96373,0.78932,1.29401,0.00015545,0.00015545,0.00015545
11,696.847,0.73836,0.61876,1.15526,0.90311,0.76824,0.8668,0.64719,0.97876,0.77559,1.29964,0.0001505,0.0001505,0.0001505
12,758.389,0.75111,0.61965,1.16024,0.86973,0.80811,0.87212,0.65719,0.94824,0.77034,1.2799,0.00014555,0.00014555,0.00014555
13,818.12,0.74114,0.61433,1.15538,0.87576,0.80912,0.87804,0.65735,0.95985,0.75237,1.28542,0.0001406,0.0001406,0.0001406
14,878.268,0.72475,0.60275,1.14484,0.89072,0.80657,0.87685,0.65661,0.95572,0.73931,1.27452,0.00013565,0.00013565,0.00013565
15,940.743,0.72413,0.59131,1.1433,0.88497,0.80697,0.88134,0.65576,0.96273,0.74685,1.29757,0.0001307,0.0001307,0.0001307
16,1000.34,0.73072,0.59709,1.14106,0.88352,0.81161,0.88373,0.67313,0.91889,0.74424,1.25662,0.00012575,0.00012575,0.00012575
17,1062.05,0.70887,0.58454,1.13714,0.87163,0.81816,0.87904,0.66354,0.94019,0.74311,1.28578,0.0001208,0.0001208,0.0001208
18,1122.91,0.7132,0.57822,1.13613,0.89291,0.82662,0.89045,0.673,0.92712,0.70221,1.26476,0.00011585,0.00011585,0.00011585
19,1182.53,0.7064,0.56954,1.13442,0.86996,0.81089,0.87489,0.66409,0.93736,0.7656,1.2783,0.0001109,0.0001109,0.0001109
20,1241.88,0.69482,0.5641,1.12922,0.89134,0.82521,0.88872,0.6694,0.93016,0.71804,1.27366,0.00010595,0.00010595,0.00010595
21,1303.74,0.69653,0.5619,1.12826,0.8844,0.80875,0.88324,0.67238,0.91714,0.74445,1.25474,0.000101,0.000101,0.000101
22,1363.79,0.68429,0.55652,1.12234,0.88735,0.83855,0.89604,0.6817,0.91196,0.70524,1.2523,9.605e-05,9.605e-05,9.605e-05
23,1424.09,0.68236,0.55429,1.12141,0.89867,0.83011,0.89374,0.68313,0.92101,0.69032,1.25707,9.11e-05,9.11e-05,9.11e-05
24,1486.37,0.69915,0.55575,1.12682,0.89678,0.82573,0.88943,0.6778,0.91953,0.71157,1.25614,8.615e-05,8.615e-05,8.615e-05
25,1545.83,0.67963,0.54656,1.11997,0.89745,0.84113,0.89325,0.69133,0.8884,0.69007,1.22647,8.12e-05,8.12e-05,8.12e-05
26,1606.79,0.67466,0.53975,1.11509,0.90538,0.82296,0.89025,0.68361,0.90516,0.6911,1.24203,7.625e-05,7.625e-05,7.625e-05
27,1667.45,0.66598,0.53338,1.11038,0.9092,0.82732,0.89092,0.68939,0.89524,0.68831,1.24476,7.13e-05,7.13e-05,7.13e-05
28,1728.62,0.66646,0.52823,1.10871,0.884,0.82516,0.89147,0.68812,0.8961,0.69851,1.24969,6.635e-05,6.635e-05,6.635e-05
29,1789.11,0.66539,0.5248,1.10657,0.9137,0.81986,0.89135,0.68549,0.90094,0.70594,1.24743,6.14e-05,6.14e-05,6.14e-05
30,1851.49,0.66719,0.52927,1.10747,0.89746,0.83476,0.90183,0.6964,0.89327,0.66367,1.23928,5.645e-05,5.645e-05,5.645e-05
31,1946.12,0.60283,0.40004,1.08787,0.89741,0.83439,0.8977,0.69277,0.89151,0.67082,1.2356,5.15e-05,5.15e-05,5.15e-05
32,2010.27,0.59218,0.38,1.07739,0.90492,0.82358,0.89868,0.69422,0.89069,0.66295,1.23816,4.655e-05,4.655e-05,4.655e-05
33,2082.9,0.57657,0.37103,1.06536,0.91792,0.80929,0.8929,0.68744,0.88628,0.68612,1.23884,4.16e-05,4.16e-05,4.16e-05
34,2151.92,0.57134,0.36384,1.06533,0.90894,0.82452,0.89652,0.69838,0.88611,0.66504,1.22992,3.665e-05,3.665e-05,3.665e-05
35,2218.73,0.56483,0.35956,1.06051,0.905,0.83632,0.9012,0.69576,0.88846,0.66451,1.23488,3.17e-05,3.17e-05,3.17e-05
36,2286.82,0.56057,0.3552,1.05395,0.89667,0.84408,0.89802,0.6982,0.88315,0.66831,1.23452,2.675e-05,2.675e-05,2.675e-05
37,2352.82,0.56133,0.35408,1.05788,0.89871,0.83919,0.89569,0.69708,0.87849,0.67117,1.23217,2.18e-05,2.18e-05,2.18e-05
38,2412.98,0.55547,0.35039,1.05929,0.91522,0.83534,0.89852,0.69753,0.88388,0.66671,1.24021,1.685e-05,1.685e-05,1.685e-05
39,2472.33,0.5506,0.34596,1.05154,0.90755,0.83278,0.89937,0.70116,0.87976,0.66091,1.23221,1.19e-05,1.19e-05,1.19e-05
40,2534.01,0.54643,0.34038,1.04917,0.89772,0.83503,0.89871,0.70174,0.87428,0.65562,1.23009,6.95e-06,6.95e-06,6.95e-06
