epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.046,1.20292,2.46114,1.53169,0.39045,0.32621,0.24303,0.13789,1.57291,3.06425,1.93734,0.066822,6.64889e-05,6.64889e-05
2,221.773,1.14694,1.73996,1.46322,0.61168,0.48977,0.52546,0.32303,1.34832,2.20396,1.65262,0.0335488,0.000126564,0.000126564
3,387.83,1.09557,1.50169,1.4208,0.66491,0.62273,0.65542,0.43498,1.16148,1.58816,1.49686,0.000268929,0.00018004,0.00018004
4,620.336,1.04717,1.36702,1.393,0.71831,0.63251,0.70518,0.46758,1.18338,1.38873,1.48901,0.0001703,0.0001703,0.0001703
5,765.887,1.01861,1.27467,1.36269,0.73721,0.62937,0.72935,0.49141,1.11963,1.40807,1.44527,0.0001604,0.0001604,0.0001604
6,903.233,1.01855,1.19784,1.35812,0.78121,0.68403,0.77292,0.51878,1.1206,1.21314,1.42531,0.0001505,0.0001505,0.0001505
7,1026.24,1.0024,1.16579,1.34277,0.77886,0.69717,0.78118,0.53924,1.08955,1.21686,1.40519,0.0001406,0.0001406,0.0001406
8,1146.66,0.97199,1.10862,1.31383,0.7836,0.70826,0.78566,0.55069,1.06628,1.19312,1.38405,0.0001307,0.0001307,0.0001307
9,1268.92,0.96122,1.07684,1.31725,0.80384,0.70028,0.79797,0.55207,1.08947,1.16427,1.40345,0.0001208,0.0001208,0.0001208
10,1390.9,0.93331,1.03953,1.29622,0.78865,0.72761,0.81039,0.56042,1.09939,1.08686,1.40893,0.0001109,0.0001109,0.0001109
11,1582.6,0.90621,0.93557,1.33794,0.83019,0.72841,0.82334,0.58427,1.04329,1.02757,1.35863,0.000101,0.000101,0.000101
12,1705.33,0.88565,0.85498,1.31384,0.81415,0.74733,0.82959,0.59659,1.02152,1.00425,1.33946,9.11e-05,9.11e-05,9.11e-05
13,1817.27,0.8644,0.80188,1.2973,0.83445,0.74733,0.83723,0.60681,1.02013,0.9786,1.32883,8.12e-05,8.12e-05,8.12e-05
14,1936.25,0.84151,0.77591,1.27489,0.83136,0.7646,0.84395,0.61847,0.98985,0.96438,1.29968,7.13e-05,7.13e-05,7.13e-05
15,2051.43,0.82608,0.73822,1.26178,0.84915,0.77381,0.84828,0.62124,0.99103,0.95011,1.31655,6.14e-05,6.14e-05,6.14e-05
16,2210.4,0.8071,0.72256,1.24752,0.83889,0.79552,0.8553,0.63375,0.97726,0.9101,1.29894,5.15e-05,5.15e-05,5.15e-05
17,2340.28,0.7937,0.69896,1.23292,0.86216,0.78303,0.85762,0.63593,0.97967,0.89955,1.29514,4.16e-05,4.16e-05,4.16e-05
18,2479.55,0.78554,0.67925,1.22785,0.86546,0.78535,0.8611,0.63212,0.98585,0.88474,1.29401,3.17e-05,3.17e-05,3.17e-05
19,2620.04,0.7704,0.66341,1.2177,0.85659,0.79632,0.86227,0.63545,0.96772,0.89299,1.28619,2.18e-05,2.18e-05,2.18e-05
20,2740.97,0.76622,0.64639,1.20567,0.85832,0.80567,0.86798,0.6455,0.95677,0.86679,1.27641,1.19e-05,1.19e-05,1.19e-05
