epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.302,0.99895,1.13232,1.32451,0.69674,0.5418,0.61453,0.40453,1.37339,1.76962,1.72283,0.066822,6.64889e-05,6.64889e-05
2,246.274,0.94578,1.01542,1.2938,0.76783,0.71059,0.78379,0.53794,1.14483,1.23309,1.44135,0.0335521,0.00012986,0.00012986
3,367.059,0.93874,0.98571,1.28634,0.81516,0.73222,0.81391,0.56575,1.07762,1.06481,1.38702,0.00027882,0.000189931,0.000189931
4,491.185,0.90721,0.95373,1.27465,0.79292,0.75554,0.81632,0.57338,1.06427,1.04627,1.37287,0.00018515,0.00018515,0.00018515
5,609.599,0.89852,0.92753,1.26432,0.8148,0.75704,0.83567,0.59566,1.0507,0.99986,1.35096,0.0001802,0.0001802,0.0001802
6,730.717,0.91004,0.9087,1.26858,0.86249,0.75378,0.84333,0.6025,1.05838,0.96209,1.36066,0.00017525,0.00017525,0.00017525
7,840.821,0.89813,0.90095,1.25661,0.8299,0.75454,0.83907,0.59923,1.03358,0.99827,1.34901,0.0001703,0.0001703,0.0001703
8,957.894,0.87565,0.87303,1.24103,0.85785,0.75676,0.84545,0.60996,1.03607,0.94171,1.34441,0.00016535,0.00016535,0.00016535
9,1073.36,0.88501,0.86221,1.25445,0.82854,0.75738,0.83485,0.60015,1.04007,0.95391,1.35283,0.0001604,0.0001604,0.0001604
10,1200.47,0.86016,0.84763,1.24044,0.84695,0.76953,0.85047,0.59821,1.06812,0.93717,1.36962,0.00015545,0.00015545,0.00015545
11,1320.58,0.86991,0.8512,1.24391,0.83371,0.75871,0.84553,0.60598,1.03347,0.94378,1.34599,0.0001505,0.0001505,0.0001505
12,1445.7,0.89111,0.85568,1.25065,0.85673,0.78533,0.85733,0.61441,1.03417,0.92819,1.33732,0.00014555,0.00014555,0.00014555
13,1573.18,0.87123,0.84366,1.24222,0.85006,0.77594,0.85464,0.61531,1.033,0.92718,1.34724,0.0001406,0.0001406,0.0001406
14,1702.23,0.85294,0.81872,1.22876,0.84535,0.78871,0.85394,0.61301,1.04472,0.91869,1.34015,0.00013565,0.00013565,0.00013565
15,1847.86,0.84997,0.80531,1.22506,0.89278,0.75067,0.85532,0.61926,1.0279,0.88212,1.34527,0.0001307,0.0001307,0.0001307
16,1989.29,0.86074,0.81061,1.22444,0.85271,0.79682,0.86224,0.62751,0.99851,0.88253,1.31998,0.00012575,0.00012575,0.00012575
17,2124.82,0.83639,0.78274,1.2163,0.84492,0.78192,0.85009,0.60556,1.04451,0.90541,1.36429,0.0001208,0.0001208,0.0001208
18,2259.24,0.82951,0.77761,1.21115,0.8597,0.78616,0.85922,0.63209,0.99906,0.88803,1.31523,0.00011585,0.00011585,0.00011585
19,2393.13,0.82572,0.76891,1.20874,0.86912,0.78958,0.86019,0.62713,1.00127,0.85518,1.31959,0.0001109,0.0001109,0.0001109
20,2527.53,0.81245,0.75638,1.20362,0.863,0.7876,0.85798,0.62792,1.00281,0.87141,1.33835,0.00010595,0.00010595,0.00010595
21,2659.11,0.82064,0.75332,1.20597,0.87459,0.78079,0.865,0.64124,0.99413,0.84306,1.30896,0.000101,0.000101,0.000101
22,2799.2,0.80438,0.74255,1.19715,0.87202,0.80717,0.87414,0.64204,0.98456,0.81986,1.30727,9.605e-05,9.605e-05,9.605e-05
23,2926.06,0.79942,0.73427,1.19397,0.87814,0.79447,0.86665,0.64123,0.98255,0.82654,1.31098,9.11e-05,9.11e-05,9.11e-05
24,3064.09,0.81687,0.73474,1.19868,0.88025,0.79476,0.87125,0.64061,0.99104,0.82801,1.3123,8.615e-05,8.615e-05,8.615e-05
25,3197.98,0.7975,0.72607,1.19348,0.88985,0.79843,0.87707,0.65187,0.98368,0.81438,1.30004,8.12e-05,8.12e-05,8.12e-05
26,3341.34,0.78803,0.71573,1.18534,0.8817,0.80096,0.87342,0.64893,0.97977,0.81146,1.30804,7.625e-05,7.625e-05,7.625e-05
27,3472.65,0.77873,0.70256,1.17828,0.88558,0.78872,0.87409,0.64987,0.97028,0.80117,1.29115,7.13e-05,7.13e-05,7.13e-05
28,3606.54,0.77937,0.69851,1.17675,0.87665,0.81403,0.88231,0.661,0.96624,0.78647,1.30087,6.635e-05,6.635e-05,6.635e-05
29,3741.15,0.77569,0.68934,1.17176,0.87916,0.80042,0.87449,0.6524,0.95657,0.79136,1.28649,6.14e-05,6.14e-05,6.14e-05
30,3878.59,0.77892,0.69592,1.1772,0.8916,0.8012,0.8774,0.65474,0.96294,0.79473,1.29853,5.645e-05,5.645e-05,5.645e-05
31,4119.68,0.73468,0.57351,1.18098,0.89018,0.81351,0.88442,0.65863,0.95927,0.77413,1.28501,5.15e-05,5.15e-05,5.15e-05
32,4252.13,0.71842,0.53433,1.16887,0.88718,0.82097,0.88646,0.66468,0.94893,0.76144,1.27274,4.655e-05,4.655e-05,4.655e-05
33,4386.04,0.6969,0.51976,1.15152,0.86505,0.82484,0.87626,0.6583,0.95816,0.77669,1.29273,4.16e-05,4.16e-05,4.16e-05
34,4518.85,0.69201,0.51301,1.15098,0.88055,0.82382,0.88477,0.66637,0.949,0.75482,1.28085,3.665e-05,3.665e-05,3.665e-05
35,4649.22,0.68468,0.50342,1.14469,0.90202,0.8126,0.88831,0.67096,0.93422,0.73648,1.2713,3.17e-05,3.17e-05,3.17e-05
36,4782.23,0.68012,0.4942,1.13686,0.89567,0.82501,0.8905,0.67434,0.93687,0.73832,1.27108,2.675e-05,2.675e-05,2.675e-05
37,4912.71,0.67624,0.492,1.13849,0.90176,0.81807,0.88945,0.66999,0.92797,0.74657,1.26291,2.18e-05,2.18e-05,2.18e-05
38,5048.67,0.67033,0.48945,1.14086,0.91034,0.8104,0.89065,0.67365,0.93334,0.74017,1.26533,1.685e-05,1.685e-05,1.685e-05
39,5178.86,0.6643,0.47566,1.13117,0.91161,0.80702,0.88843,0.67445,0.93027,0.74291,1.26516,1.19e-05,1.19e-05,1.19e-05
40,5306.45,0.65817,0.47225,1.1276,0.88515,0.82706,0.89068,0.6753,0.92728,0.73183,1.25951,6.95e-06,6.95e-06,6.95e-06
